Unique ,Year,Date ,Type,TSN,Species,Rep,STA,Depth (m),Lat DD,Long DD,Acidified?,Sampling,Composit,Size,Notes,Unique non,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C,Unique acid,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C
417 - 418,2015,6-Aug-15,Animal,157544,Ophiacantha bidentata,1,149-200,207,71.21227,-149.34295,non - acid,Trawl,n=2,,,417,0.487,16.44,0.77,-17.51,8.01,418,0.608,12.93,1.35,-21.80,8.82
419 - 420,2015,6-Aug-15,Animal,157402,Ophiocten sericeum,1,149-200,207,71.21227,-149.34295,non - acid,Trawl,n=many,small,whole,419,0.407,13.64,0.55,-12.35,5.39,420,0.526,6.00,3.95,-27.37,16.55
151,2014,6-Aug-14,Phy,-2,Phytoplankton ,1,1.05,64.9,71.320,-152.090,Acid only,Nets,,,,,,,,,,151,NW,8.628,,-23.683,
153,2014,6-Aug-14,Phy,-2,Phytoplankton ,2,1.05,64.9,71.320,-152.090,Acid only,Nets,,,,,,,,,,153,NW,8.230,,-24.500,
155,2014,1-Aug-14,Phy,-2,Phytoplankton ,1,5(5),19.9,70.437,-147.344,Acid only,Nets,,,,,,,,,,155,NW,6.104,,-25.003,
157,2014,1-Aug-14,Phy,-2,Phytoplankton ,2,5(5),19.9,70.437,-147.344,Acid only,Nets,,,,,,,,,,157,NW,6.278,,-24.946,
159,2014,6-Aug-14,Phy,-2,Phytoplankton ,1,6,54.9,71.283,-151.560,Acid only,Nets,,,,,,,,,,159,NW,9.848,,-24.014,
161,2014,6-Aug-14,Phy,-2,Phytoplankton ,2,6,54.9,71.283,-151.560,Acid only,Nets,,,,,,,,,,161,NW,9.703,,-23.835,
163,2014,31-Jul-14,Phy,-2,Phytoplankton ,1,6D,18.9,70.749,-150.475,Acid only,Nets,,,,,,,,,,163,NW,7.088,,-26.377,
165,2014,31-Jul-14,Phy,-2,Phytoplankton ,2,6D,18.9,70.749,-150.475,Acid only,Nets,,,,,,,,,,165,NW,7.426,,-26.310,
167,2014,5-Aug-14,Phy,-2,Phytoplankton ,1,11,43.5,70.884,-148.135,Acid only,Nets,,,,,,,,,,167,NW,9.877,,-23.332,
169,2014,5-Aug-14,Phy,-2,Phytoplankton ,2,11,43.5,70.884,-148.135,Acid only,Nets,,,,,,,,,,169,NW,10.075,,-23.778,
171,2014,4-Aug-14,Phy,-2,Phytoplankton ,1,16,61.2,70.734,-145.992,Acid only,Nets,,,,,,,,,,171,NW,7.144,,-24.988,
173,2014,4-Aug-14,Phy,-2,Phytoplankton ,2,16,61.2,70.734,-145.992,Acid only,Nets,,,,,,,,,,173,NW,7.059,,-24.775,
175,2014,2-Aug-14,Phy,-2,Phytoplankton ,1,21,36.6,70.275,-143.910,Acid only,Nets,,,,,,,,,,175,NW,5.967,,-23.163,
177,2014,2-Aug-14,Phy,-2,Phytoplankton ,2,21,36.6,70.275,-143.910,Acid only,Nets,,,,,,,,,,177,NW,6.095,,-23.624,
179,2014,2-Aug-14,Phy,-2,Phytoplankton ,1,22,35.2,70.192,-142.905,Acid only,Nets,,,,,,,,,,179,NW,6.993,,-25.224,
181,2014,2-Aug-14,Phy,-2,Phytoplankton ,2,22,35.2,70.192,-142.905,Acid only,Nets,,,,,,,,,,181,NW,6.554,,-24.734,
183,2014,3-Aug-14,Phy,-2,Phytoplankton ,1,24,53.5,70.260,-141.763,Acid only,Nets,,,,,,,,,,183,NW,6.499,,-26.043,
185,2014,3-Aug-14,Phy,-2,Phytoplankton ,2,24,53.5,70.260,-141.763,Acid only,Nets,,,,,,,,,,185,NW,7.273,,-25.514,
187,2014,3-Aug-14,Phy,-2,Phytoplankton ,1,25,22.7,69.851,-141.718,Acid only,Nets,,,,,,,,,,187,NW,9.970,,-24.385,
189,2014,3-Aug-14,Phy,-2,Phytoplankton ,2,25,22.7,69.851,-141.718,Acid only,Nets,,,,,,,,,,189,NW,9.518,,-24.318,
191,2014,1-Aug-14,Phy,-2,Phytoplankton ,1,L250-5,29.3,70.365,-146.118,Acid only,Nets,,,,,,,,,,191,NW,6.099,,-24.295,
193,2014,1-Aug-14,Phy,-2,Phytoplankton ,2,L250-5,29.3,70.365,-146.118,Acid only,Nets,,,,,,,,,,193,NW,6.449,,-24.936,
51,2014,6-Aug-14,POM,,POM- Chl max,1,1.05,10,71.320,-152.090,Acid only,CTD,,,with filter,,,,,,,51,NW,7.085,,-23.116,
53,2014,6-Aug-14,POM,,POM- Chl max,2,1.05,10,71.320,-152.090,Acid only,CTD,,,with filter,,,,,,,53,NW,7.754,,-21.890,
55,2014,1-Aug-14,POM,,POM- Chl max,1,5(5),6,70.437,-147.344,Acid only,CTD,,,with filter,,,,,,,55,NW,6.336,,-23.025,
57,2014,1-Aug-14,POM,,POM- Chl max,2,5(5),6,70.437,-147.344,Acid only,CTD,,,with filter,,,,,,,57,NW,6.595,,-23.101,
59,2014,6-Aug-14,POM,,POM- Chl max,1,6,24,71.283,-151.560,Acid only,CTD,,,"with filter, no d15N value",,,,,,,59,NW,,,-22.680,
61,2014,6-Aug-14,POM,,POM- Chl max,2,6,24,71.283,-151.560,Acid only,CTD,,,with filter,,,,,,,61,NW,,,-23.629,
63,2014,31-Jul-14,POM,,POM- Chl max,1,6D,10,70.749,-150.475,Acid only,CTD,,,"with filter, no d15N value",,,,,,,63,NW,,,-24.877,
65,2014,31-Jul-14,POM,,POM- Chl max,2,6D,10,70.749,-150.475,Acid only,CTD,,,"with filter, no d15N value",,,,,,,65,NW,,,-25.318,
67,2014,5-Aug-14,POM,,POM- Chl max,1,11,27,70.884,-148.135,Acid only,CTD,,,with filter,,,,,,,67,NW,7.542,,-22.289,
69,2014,5-Aug-14,POM,,POM- Chl max,2,11,27,70.884,-148.135,Acid only,CTD,,,with filter,,,,,,,69,NW,8.669,,-22.142,
71,2014,4-Aug-14,POM,,POM- Chl max,1,16,28,70.734,-145.992,Acid only,CTD,,,with filter,,,,,,,71,NW,6.379,,-22.588,
73,2014,4-Aug-14,POM,,POM- Chl max,2,16,28,70.734,-145.992,Acid only,CTD,,,with filter,,,,,,,73,NW,6.886,,-22.387,
75,2014,2-Aug-14,POM,,POM- Chl max,1,21,20,70.275,-143.910,Acid only,CTD,,,with filter,,,,,,,75,NW,7.637,,-22.394,
77,2014,2-Aug-14,POM,,POM- Chl max,2,21,20,70.275,-143.910,Acid only,CTD,,,with filter,,,,,,,77,NW,7.064,,-22.127,
87,2014,3-Aug-14,POM,,POM- Chl max,1,25,15,69.851,-141.718,Acid only,CTD,,,"with filter, no d15N value",,,,,,,87,NW,,,-16.722,
89,2014,3-Aug-14,POM,,POM- Chl max,2,25,15,69.851,-141.718,Acid only,CTD,,,"with filter, no d15N value",,,,,,,89,NW,,,-17.549,
91,2014,1-Aug-14,POM,,POM- Chl max,1,L250-5,21,70.365,-146.118,Acid only,CTD,,,with filter,,,,,,,91,NW,6.913,,-21.378,
93,2014,1-Aug-14,POM,,POM- Chl max,2,L250-5,21,70.365,-146.118,Acid only,CTD,,,with filter,,,,,,,93,NW,7.293,,-21.430,
101,2014,6-Aug-14,POM,,POM- Bottom,1,1.05,14,71.320,-152.090,Acid only,CTD,,,with filter,,,,,,,101,NW,7.474,,-22.665,
103,2014,6-Aug-14,POM,,POM- Bottom,2,1.05,14,71.320,-152.090,Acid only,CTD,,,with filter,,,,,,,103,NW,7.938,,-21.291,
105,2014,1-Aug-14,POM,,POM- Bottom,1,5(5),16,70.437,-147.344,Acid only,CTD,,,with filter,,,,,,,105,NW,7.027,,-20.387,
107,2014,1-Aug-14,POM,,POM- Bottom,2,5(5),16,70.437,-147.344,Acid only,CTD,,,with filter,,,,,,,107,NW,7.254,,-20.220,
113,2014,31-Jul-14,POM,,POM- Bottom,1,6D,14,70.749,-150.475,Acid only,CTD,,,with filter,,,,,,,113,NW,11.815,,-24.350,
115,2014,31-Jul-14,POM,,POM- Bottom,2,6D,14,70.749,-150.475,Acid only,CTD,,,with filter,,,,,,,115,NW,11.881,,-23.967,
117,2014,5-Aug-14,POM,,POM- Bottom,1,11,39,70.884,-148.135,Acid only,CTD,,,with filter,,,,,,,117,NW,8.327,,-21.657,
119,2014,5-Aug-14,POM,,POM- Bottom,2,11,39,70.884,-148.135,Acid only,CTD,,,with filter,,,,,,,119,NW,7.635,,-22.154,
121,2014,4-Aug-14,POM,,POM- Bottom,1,16,54,70.734,-145.992,Acid only,CTD,,,with filter,,,,,,,121,NW,7.248,,-21.722,
123,2014,4-Aug-14,POM,,POM- Bottom,2,16,54,70.734,-145.992,Acid only,CTD,,,with filter,,,,,,,123,NW,7.058,,-22.625,
125,2014,2-Aug-14,POM,,POM- Bottom,1,21,30,70.275,-143.910,Acid only,CTD,,,with filter,,,,,,,125,NW,7.352,,-21.995,
127,2014,2-Aug-14,POM,,POM- Bottom,2,21,30,70.275,-143.910,Acid only,CTD,,,with filter,,,,,,,127,NW,7.640,,-22.074,
129,2014,2-Aug-14,POM,,POM- Bottom,1,22,30,70.192,-142.905,Acid only,CTD,,,with filter,,,,,,,129,NW,7.901,,-22.054,
131,2014,2-Aug-14,POM,,POM- Bottom,2,22,30,70.192,-142.905,Acid only,CTD,,,with filter,,,,,,,131,NW,7.653,,-21.380,
137,2014,3-Aug-14,POM,,POM- Bottom,1,25,20,69.851,-141.718,Acid only,CTD,,,with filter,,,,,,,137,NW,14.529,,-20.694,
139,2014,3-Aug-14,POM,,POM- Bottom,2,25,20,69.851,-141.718,Acid only,CTD,,,with filter,,,,,,,139,NW,14.323,,-19.984,
109+111,2014,6-Aug-14,POM,,POM- Bottom,1+2,6,53,71.283,-151.560,Acid only,CTD,combined both reps,,with filter,,,,,,,109+111,NW,7.822,,-22.813,
133+135,2014,3-Aug-14,POM,,POM- Bottom,1+2,24,40,70.260,-141.763,Acid only,CTD,combined both reps,,with filter,,,,,,,133+135,NW,7.137,,-22.900,
141+143,2014,1-Aug-14,POM,,POM- Bottom,1+2,L250-5,29,70.365,-146.118,Acid only,CTD,combined both reps,,with filter,,,,,,,141+143,NW,7.254,,-22.611,
79+81,2014,2-Aug-14,POM,,POM- Chl max,1+2,22,16,70.192,-142.905,Acid only,CTD,combined both reps,,with filter,,,,,,,79+81,NW,7.611,,-22.249,
83+85,2014,3-Aug-14,POM,,POM- Chl max,1+2,24,15,70.260,-141.763,Acid only,CTD,combined both reps,,with filter,,,,,,,83+85,NW,5.092,,-23.460,
501-502,2015,1-Aug-15,POM,,POM - chl max,1,152 W0,6,71.00417,-152.37927,non - acid,CTD,,,,501,NW,6.12,0.62,,,502,NW,-27.15,3.92,,
505-506,2015,1-Aug-15,POM,,POM - deep,1,152 W0,12,71.00417,-152.37927,non - acid,CTD,,,,505,NW,6.89,0.74,,,506,NW,-25.34,8.33,,
509-510,2015,1-Aug-15,POM,,POM - chl max,1,152 W1,22,71.19385,-152.25312,non - acid,CTD,,,,509,NW,7.25,0.96,,,510,NW,-24.66,6.81,,
513-514,2015,1-Aug-15,POM,,POM - deep,1,152 W1,34,71.19385,-152.25312,non - acid,CTD,,,,513,NW,6.91,0.53,,,514,NW,-24.54,4.53,,
517-518,2015,1-Aug-15,POM,,POM - chl max,1,71-150,,70.94037,-151.03007,non - acid,CTD,,,,517,NW,7.32,0.77,,,518,NW,-26.44,6.08,,
521-522,2015,1-Aug-15,POM,,POM - deep,1,71-150,,70.94037,-151.03007,non - acid,CTD,,,,521,NW,7.54,1.03,,,522,NW,-25.98,6.00,,
525-526,2015,2-Aug-15,POM,,POM - chl max,1,5A,6.2,70.49468,-148.764,non - acid,CTD,,,,525,NW,7.54,0.62,,,526,NW,-26.42,5.17,,
529-530,2015,2-Aug-15,POM,,POM - deep,1,5A,9,70.49468,-148.764,non - acid,CTD,,,,529,NW,6.76,0.75,,,530,NW,-25.89,7.03,,
533-534,2015,2-Aug-15,POM,,POM - chl max,1,3A,1.5,70.28238,-147.09002,non - acid,CTD,,,,533,NW,5.84,0.49,,,534,NW,-27.38,3.95,,
537-538,2015,2-Aug-15,POM,,POM - deep,1,3A,4.7,70.28238,-147.09002,non - acid,CTD,,,,537,NW,6.57,0.49,,,538,NW,-27.51,3.93,,
541-542,2015,3-Aug-15,POM,,POM - chl max,1,143 W1,24,70.25728,-143.60658,non - acid,CTD,,,,541,NW,7.69,0.87,,,542,NW,-24.52,7.77,,
545-546,2015,3-Aug-15,POM,,POM - deep,1,143 W1,34,70.25728,-143.60658,non - acid,CTD,,,,545,NW,7.59,1.28,,,546,NW,-24.41,10.17,,
549-550,2015,3-Aug-15,POM,,POM - chl max,1,143 W2,34,70.44248,-143.5957,non - acid,CTD,,,,549,NW,6.18,0.45,,,550,NW,-26.36,2.97,,
553-554,2015,3-Aug-15,POM,,POM - deep,1,143 W2,43,70.44248,-143.5957,non - acid,CTD,,,,553,NW,7.38,1.94,,,554,NW,-24.14,10.78,,
557-558,2015,3-Aug-15,POM,,POM - chl max,1,143 W6,55,70.7445,-143.59178,non - acid,CTD,,,,557,NW,5.30,0.35,,,558,NW,-26.94,3.06,,
561-562,2015,3-Aug-15,POM,,POM - deep,1,143 W6,300,70.7445,-143.59178,non - acid,CTD,,,,561,NW,6.28,0.22,,,562,NW,-26.45,1.97,,
565-566,2015,3-Aug-15,POM,,POM - chl max,1,143 W5,45,70.62602,-143.59075,non - acid,CTD,,,very little color,565,NW,6.01,0.73,,,566,NW,-26.55,2.31,,
569-570,2015,3-Aug-15,POM,,POM - deep,1,143 W5,288,70.62602,-143.59075,non - acid,CTD,,,very little color,569,NW,6.14,0.27,,,570,NW,-27.16,2.48,,
573-574,2015,3-Aug-15,POM,,POM - chl max,1,143 W4,115,70.56907,-143.60012,non - acid,CTD,,,,573,NW,7.03,1.39,,,574,NW,-25.22,5.79,,
577-578,2015,3-Aug-15,POM,,POM - deep,1,143 W4,145,70.56907,-143.60012,non - acid,CTD,,,,577,NW,6.72,0.34,,,578,NW,-27.35,3.45,,
581-582,2015,4-Aug-15,POM,,POM - chl max,1,143 W3,60,70.54817,-143.53765,non - acid,CTD,,,,581,NW,6.60,1.22,,,582,NW,-25.89,9.67,,
585-586,2015,4-Aug-15,POM,,POM - deep,1,143 W3,110,70.54817,-143.53765,non - acid,CTD,,,,585,NW,7.59,1.9,,,586,NW,-24.26,15.22,,
589-590,2015,4-Aug-15,POM,,POM - chl max,1,70-142,27,70.46577,-142.4026,non - acid,CTD,,,,589,NW,5.25,0.55,,,590,NW,-26.57,1.94,,
593-594,2015,4-Aug-15,POM,,POM - deep,1,70-142,62,70.46577,-142.4026,non - acid,CTD,,,,593,NW,7.14,1.88,,,594,NW,-24.39,5.69,,
597-598,2015,4-Aug-15,POM,,POM - chl max,1,70-143,31,70.36135,-142.85175,non - acid,CTD,,,,597,NW,7.10,1.47,,,598,NW,-25.53,5.42,,
601-602,2015,4-Aug-15,POM,,POM - deep,1,70-143,50.6,70.36135,-142.85175,non - acid,CTD,,,,601,NW,7.58,2.88,,,602,NW,-24.01,14.14,,
605-606,2015,5-Aug-15,POM,,POM - chl max,1,70-145,22,70.49115,-144.96818,non - acid,CTD,,,very dark,605,NW,7.33,0.63,,,606,NW,-26.58,2.91,,
609-610,2015,5-Aug-15,POM,,POM - deep,1,70-145,43,70.49115,-144.96818,non - acid,CTD,,,very dark,609,NW,7.88,1.28,,,610,NW,-23.94,5.68,,
613-614,2015,5-Aug-15,POM,,POM - chl max,1,71-145,59,70.67525,-144.91698,non - acid,CTD,,,,,,,,,,614,NW,-25.22,3.26,,
617-618,2015,5-Aug-15,POM,,POM - deep,1,71-145,90,70.67525,-144.91698,non - acid,CTD,,,,,,,,,,618,NW,-24.75,3.70,,
621-622,2015,5-Aug-15,POM,,POM - chl max,1,71-146,69,70.95688,-145.80058,non - acid,CTD,,,,621,NW,6.10,0.29,,,622,NW,-26.50,2.18,,
625-626,2015,5-Aug-15,POM,,POM - deep,1,71-146,300,70.95688,-145.80058,non - acid,CTD,,,,625,NW,7.72,0.31,,,626,NW,-26.00,1.97,,
629-630,2015,6-Aug-15,POM,,POM - chl max,1,71-147,45.5,,,non - acid,CTD,,,very light,629,NW,6.44,0.57,,,630,NW,-25.91,3.25,,
633-634,2015,6-Aug-15,POM,,POM - deep,1,71-147,95,,,non - acid,CTD,,,very light,633,NW,6.84,0.32,,,634,NW,-26.04,2.49,,
637-638,2015,6-Aug-15,POM,,POM - chl max,1,71-149,48,71.15253,-148.41442,non - acid,CTD,,,very light,637,NW,6.09,0.33,,,638,NW,-25.84,2.37,,
641-642,2015,6-Aug-15,POM,,POM - deep,1,71-149,64,71.15253,-148.41442,non - acid,CTD,,,very light,641,NW,6.72,0.66,,,642,NW,-26.28,4.58,,
645-646,2015,6-Aug-15,POM,,POM - chl max,1,149-200,45,71.21227,-149.34295,non - acid,CTD,,,very dark,645,NW,7.23,1.11,,,646,NW,-24.22,6.06,,
649-650,2015,6-Aug-15,POM,,POM - deep,1,149-200,198,71.21227,-149.34295,non - acid,CTD,,,,649,NW,6.94,0.39,,,650,NW,-25.71,3.74,,
1-2,2014,6-Aug-14,Sed,,Sediment,1,1.05,64.9,71.320,-152.090,non - acid,Grab,,,,1,29.609,4.300,2.286,,,2,29.487,,2.709,-21.534,37.511
3-4,2014,6-Aug-14,Sed,,Sediment,2,1.05,64.9,71.320,-152.090,non - acid,Grab,,,,3,29.592,4.183,2.286,,,4,29.697,,2.596,-25.787,33.524
5-6,2014,1-Aug-14,Sed,,Sediment,1,5(5),19.9,70.437,-147.344,non - acid,Grab,,,,5,30.458,4.366,0.975,,,6,29.323,,1.31,-25.618,15.849
7-8,2014,1-Aug-14,Sed,,Sediment,2,5(5),19.9,70.437,-147.344,non - acid,Grab,,,,7,30.581,5.485,1.416,,,8,29.563,,1.411,-25.573,15.433
9-10,2014,6-Aug-14,Sed,,Sediment,1,6,54.9,71.283,-151.560,non - acid,Grab,,,,9,29.148,5.980,1.982,,,10,30.912,,2.301,-24.914,24.199
11-12,2014,6-Aug-14,Sed,,Sediment,2,6,54.9,71.283,-151.560,non - acid,Grab,,,,11,29.299,6.085,1.991,,,12,30.138,,1.94,-24.959,24.216
13-14,2014,31-Jul-14,Sed,,Sediment,1,6D,18.9,70.749,-150.475,non - acid,Grab,,,,13,31.040,5.831,3.304,,,14,30.843,,3.251,-25.128,35.137
15-16,2014,31-Jul-14,Sed,,Sediment,2,6D,18.9,70.749,-150.475,non - acid,Grab,,,,15,29.326,6.873,3.509,,,16,31.100,,3.557,-25.061,36.911
17-18,2014,5-Aug-14,Sed,,Sediment,1,11,43.5,70.884,-148.135,non - acid,Grab,,,,17,30.481,5.798,2.666,,,18,29.700,,2.919,-24.825,31.848
19-20,2014,5-Aug-14,Sed,,Sediment,2,11,43.5,70.884,-148.135,non - acid,Grab,,,,19,29.893,5.999,2.918,,,20,29.745,,3.13,-25.030,32.722
21-22,2014,4-Aug-14,Sed,,Sediment,1,16,61.2,70.734,-145.992,non - acid,Grab,,,,21,31.432,5.910,2.342,,,22,29.755,,2.818,-24.713,29.696
23-24,2014,4-Aug-14,Sed,,Sediment,2,16,61.2,70.734,-145.992,non - acid,Grab,,,,23,29.845,5.918,2.149,,,24,30.790,,2.587,-24.716,25.416
25-26,2014,2-Aug-14,Sed,,Sediment,1,21,36.6,70.275,-143.910,non - acid,Grab,,,,25,32.711,6.033,1.577,,,26,32.282,,1.663,-25.615,17.977
27-28,2014,2-Aug-14,Sed,,Sediment,2,21,36.6,70.275,-143.910,non - acid,Grab,,,,27,30.536,4.583,1.691,,,28,29.560,,0.972,-25.772,11.102
29-30,2014,2-Aug-14,Sed,,Sediment,1,22,35.2,70.192,-142.905,non - acid,Grab,,,,29,28.478,4.190,2.361,,,30,29.565,,2.335,-25.941,28.560
31-32,2014,2-Aug-14,Sed,,Sediment,2,22,35.2,70.192,-142.905,non - acid,Grab,,,,31,28.551,4.301,2.871,,,32,30.874,,2.928,-24.899,42.375
33-34,2014,3-Aug-14,Sed,,Sediment,1,24,53.5,70.260,-141.763,non - acid,Grab,,,,33,29.724,4.584,3.157,,,34,30.538,,2.914,-25.134,28.740
35-36,2014,3-Aug-14,Sed,,Sediment,2,24,53.5,70.260,-141.763,non - acid,Grab,,,,35,29.071,4.353,3.266,,,36,29.722,,3.07,-25.145,31.478
37-38,2014,4-Aug-14,Sed,,Sediment,1,25,22.7,69.851,-141.718,non - acid,Grab,,,,37,29.833,5.474,1.883,,,38,30.975,,1.793,-25.964,18.414
39-40,2014,4-Aug-14,Sed,,Sediment,2,25,22.7,69.851,-141.718,non - acid,Grab,,,,39,29.189,4.881,1.498,,,40,27.734,,1.549,-26.126,17.140
41-42,2014,7-Aug-14,Sed,,Sediment,1,L250-5,29.3,70.365,-146.118,non - acid,Grab,,,,41,32.017,3.182,2.470,,,42,28.498,,2.138,-25.566,22.406
43-44,2014,7-Aug-14,Sed,,Sediment,2,L250-5,29.3,70.365,-146.118,non - acid,Grab,,,,43,29.936,3.675,2.383,,,44,29.542,,1.893,-25.635,20.502
1-2,2015,1-Aug-15,Sed,,Sediment,1,152 W0,15.9,71.00417,-152.37927,non - acid,Grab,,,,1,29.669,4.723,3.126,-15.742,59.395,2,28.870,4.166,3.699,-26.647,55.291
5-6,2015,1-Aug-15,Sed,,Sediment,1,152 W1,38,71.19385,-152.25312,non - acid,Grab,,,,5,30.279,5.834,2.591,-14.651,45.444,6,30.108,5.284,2.877,-25.887,36.761
9-10,2015,1-Aug-15,Sed,,Sediment,1,71-150,18.2,70.94037,-151.03007,non - acid,Grab,,,,9,32.110,4.046,0.513,-3.477,36.697,10,29.095,3.581,0.432,-26.797,5.436
13-14,2015,2-Aug-15,Sed,,Sediment,1,5A,11.8,70.49468,-148.764,non - acid,Grab,,,,13,28.173,4.722,2.510,-10.125,88.498,14,29.045,4.126,3.163,-26.597,52.531
17-18,2015,2-Aug-15,Sed,,Sediment,1,3A,6.4,70.28238,-147.09002,non - acid,Grab,,,,17,28.440,4.051,2.267,-8.049,100.045,18,29.966,3.411,3.053,-26.488,49.216
21-22,2015,3-Aug-15,Sed,,Sediment,1,143 W1,38.8,70.25728,-143.60658,non - acid,Grab,,,,21,30.192,5.554,1.682,-11.149,40.479,22,29.460,5.098,1.869,-26.404,26.428
25-26,2015,3-Aug-15,Sed,,Sediment,1,143 W2,48,70.44248,-143.5957,non - acid,Grab,,,,25,28.757,6.238,1.946,-9.196,62.736,26,28.745,5.796,1.810,-26.054,23.505
29-30,2015,3-Aug-15,Sed,,Sediment,1,143 W5,303,70.62602,-143.59075,non - acid,Grab,,,,29,28.243,6.342,3.626,-19.013,45.626,30,29.236,6.021,3.908,-25.750,46.005
33-34,2015,3-Aug-15,Sed,,Sediment,1,143 W4,154,70.56907,-143.60012,non - acid,Grab,,,,33,28.712,5.883,3.302,-17.295,46.670,34,29.169,5.667,3.653,-25.669,42.375
37-38,2015,4-Aug-15,Sed,,Sediment,1,70-142,65.5,70.46577,-142.4026,non - acid,Grab,,,,37,31.818,6.133,2.305,-9.854,79.973,38,28.623,5.701,2.243,-25.887,31.221
41-42,2015,4-Aug-15,Sed,,Sediment,1,70-143,57,70.36135,-142.85175,non - acid,Grab,,,,41,30.861,5.146,1.677,-12.599,46.047,42,28.735,4.709,1.580,-26.371,33.138
45-46,2015,5-Aug-15,Sed,,Sediment,1,70-145,45.8,70.49115,-144.96818,non - acid,Grab,,,,45,31.773,6.439,2.383,-9.097,78.960,46,28.742,5.455,2.014,-25.959,25.749
49-50,2015,5-Aug-15,Sed,,Sediment,1,71-145,103,70.67525,-144.91698,non - acid,Grab,,,,49,28.458,6.226,2.975,-16.261,45.065,50,28.893,5.744,3.209,-25.328,37.837
53-54,2015,5-Aug-15,Sed,,Sediment,1,71-146,395,70.95688,-145.80058,non - acid,Grab,,,,53,27.333,6.187,3.402,-19.793,43.625,54,28.748,5.663,3.912,-25.641,49.333
57-58,2015,6-Aug-15,Sed,,Sediment,1,71-147,100,,,non - acid,Grab,,,,57,30.871,6.885,1.794,-10.255,54.883,58,28.764,6.217,1.849,-25.644,25.199
61-62,2015,6-Aug-15,Sed,,Sediment,1,71-149,68.4,71.15253,-148.41442,non - acid,Grab,,,,61,30.489,6.108,1.554,-10.088,44.088,62,29.096,5.986,1.390,-25.908,18.622
65-66,2015,6-Aug-15,Sed,,Sediment,1,149-350,331,71.21227,-149.34295,non - acid,Grab,,,,65,29.043,5.745,3.556,-18.910,53.799,66,29.023,5.406,3.779,-25.991,46.862
69-70,2015,6-Aug-15,Sed,,Sediment,1,149-200,207,71.21227,-149.34295,non - acid,Grab,,,,69,30.683,6.154,3.402,-17.259,53.922,70,29.007,6.128,3.662,-25.973,51.268
195-196,2014,6-Aug-14,Zoop,-1,Zooplankton ,1,1.05,64.9,71.320,-152.090,non - acid,Nets,,,,195,NW,10.652,,,,196,NW,,,-25.652,
197-198,2014,6-Aug-14,Zoop,-1,Zooplankton ,2,1.05,64.9,71.320,-152.090,non - acid,Nets,,,,197,NW,10.279,,,,198,NW,,,-24.908,
199-200,2014,1-Aug-14,Zoop,-1,Zooplankton ,1,5(5),19.9,70.437,-147.344,non - acid,Nets,,,,199,NW,9.510,,,,200,NW,,,-25.780,
201-202,2014,1-Aug-14,Zoop,-1,Zooplankton ,2,5(5),19.9,70.437,-147.344,non - acid,Nets,,,,201,NW,8.858,,,,202,NW,,,-25.898,
203-204,2014,6-Aug-14,Zoop,-1,Zooplankton ,1,6,54.9,71.283,-151.560,non - acid,Nets,,,,203,NW,12.795,,,,204,NW,,,-23.349,
205-206,2014,6-Aug-14,Zoop,-1,Zooplankton ,2,6,54.9,71.283,-151.560,non - acid,Nets,,,,205,NW,12.671,,,,206,NW,,,-23.145,
207-208,2014,31-Jul-14,Zoop,-1,Zooplankton ,1,6D,18.9,70.749,-150.475,non - acid,Nets,,,,207,NW,11.022,,,,208,NW,,,-24.869,
211-212,2014,5-Aug-14,Zoop,-1,Zooplankton ,1,11,43.5,70.884,-148.135,non - acid,Nets,,,,211,NW,10.352,,,,212,NW,,,-24.295,
213-214,2014,5-Aug-14,Zoop,-1,Zooplankton ,2,11,43.5,70.884,-148.135,non - acid,Nets,,,,213,NW,10.072,,,,214,NW,,,-24.581,
215-216,2014,4-Aug-14,Zoop,-1,Zooplankton ,1,16,61.2,70.734,-145.992,non - acid,Nets,,,,215,NW,8.057,,,,216,NW,,,-25.157,
217-218,2014,4-Aug-14,Zoop,-1,Zooplankton ,2,16,61.2,70.734,-145.992,non - acid,Nets,,,,217,NW,7.801,,,,218,NW,,,-25.849,
219-220,2014,2-Aug-14,Zoop,-1,Zooplankton ,1,21,36.6,70.275,-143.910,non - acid,Nets,,,,219,NW,8.609,,,,220,NW,,,-26.111,
221-222,2014,2-Aug-14,Zoop,-1,Zooplankton ,2,21,36.6,70.275,-143.910,non - acid,Nets,,,,221,NW,8.752,,,,222,NW,,,-26.097,
223-224,2014,2-Aug-14,Zoop,-1,Zooplankton ,1,22,35.2,70.192,-142.905,non - acid,Nets,,,,223,NW,8.627,,,,224,NW,,,-25.638,
225-226,2014,2-Aug-14,Zoop,-1,Zooplankton ,2,22,35.2,70.192,-142.905,non - acid,Nets,,,,225,NW,8.665,,,,226,NW,,,-25.918,
227-228,2014,3-Aug-14,Zoop,-1,Zooplankton ,1,24,53.5,70.260,-141.763,non - acid,Nets,,,,227,NW,9.565,,,,228,NW,,,-25.772,
229-230,2014,3-Aug-14,Zoop,-1,Zooplankton ,2,24,53.5,70.260,-141.763,non - acid,Nets,,,,229,NW,9.208,,,,230,NW,,,-26.121,
231-232,2014,3-Aug-14,Zoop,-1,Zooplankton ,1,25,22.7,69.851,-141.718,non - acid,Nets,,,,231,NW,8.850,,,,232,NW,,,-26.601,
